기간,지역,자전거 가해자사고,자전거 가해자사고,자전거 가해자사고,자전거 피해자사고,자전거 피해자사고,자전거 피해자사고
기간,지역,발생건수,사망자수,부상자수,발생건수,사망자수,부상자수
2016,종로구,22,-,23,29,-,31
2016,중구,6,-,6,20,-,21
2016,용산구,48,-,55,43,-,50
2016,성동구,63,1,69,84,-,91
2016,광진구,62,-,66,66,-,69
2016,동대문구,128,1,135,124,2,128
2016,중랑구,104,-,115,96,-,103
2016,성북구,43,-,43,53,-,53
2016,강북구,41,1,48,62,-,62
2016,도봉구,70,1,76,73,1,74
2016,노원구,91,-,94,97,2,100
2016,은평구,56,2,62,56,1,57
2016,서대문구,36,1,37,29,1,32
2016,마포구,52,-,56,97,-,104
2016,양천구,104,2,109,95,1,103
2016,강서구,125,1,127,78,-,84
2016,구로구,84,2,90,95,-,99
2016,금천구,31,-,33,25,1,26
2016,영등포구,193,1,216,152,2,166
2016,동작구,67,2,81,56,-,65
2016,관악구,39,-,39,33,1,32
2016,서초구,48,-,49,64,-,65
2016,강남구,74,-,85,77,-,84
2016,송파구,206,-,238,211,-,230
2016,강동구,91,-,99,146,-,159
2017,합계,"1,656",16,"1,776","1,607",14,"1,701"
2017,종로구,29,-,29,29,1,34
2017,중구,12,-,12,15,1,17
2017,용산구,41,-,47,38,-,43
2017,성동구,63,2,64,56,1,61
2017,광진구,60,1,62,54,1,54
2017,동대문구,107,1,110,101,1,104
2017,중랑구,114,1,127,94,-,97
2017,성북구,51,1,54,54,-,55
2017,강북구,46,-,53,47,-,52
2017,도봉구,66,-,68,71,1,72
2017,노원구,77,-,82,71,-,76
2017,은평구,51,-,52,35,-,37
2017,서대문구,26,-,29,34,-,34
2017,마포구,48,-,49,65,-,70
2017,양천구,76,-,78,70,1,70
2017,강서구,87,2,93,75,1,83
2017,구로구,49,-,51,79,2,79
2017,금천구,26,-,27,29,-,29
2017,영등포구,150,1,163,107,1,115
2017,동작구,54,1,65,58,-,69
2017,관악구,36,-,39,20,-,21
2017,서초구,30,-,31,33,-,33
2017,강남구,63,-,68,75,1,78
2017,송파구,214,1,241,187,1,203
2017,강동구,80,5,82,110,1,115
2018,합계,"1,471",18,"1,573","1,447",11,"1,513"
2018,종로구,21,-,22,19,-,19
2018,중구,14,1,13,13,-,13
2018,용산구,26,-,34,30,1,35
2018,성동구,47,1,51,69,1,72
2018,광진구,70,2,72,45,-,49
2018,동대문구,105,1,114,99,2,101
2018,중랑구,78,1,80,62,-,65
2018,성북구,41,-,41,34,-,34
2018,강북구,41,1,41,41,-,42
2018,도봉구,45,1,45,57,-,58
2018,노원구,86,1,88,75,-,78
2018,은평구,51,1,54,55,-,56
2018,서대문구,30,-,35,25,-,29
2018,마포구,45,1,46,46,-,49
2018,양천구,46,-,54,75,-,78
2018,강서구,59,1,59,44,1,46
2018,구로구,53,-,59,77,1,80
2018,금천구,25,-,26,22,-,24
2018,영등포구,161,4,172,119,1,125
2018,동작구,63,-,71,51,-,55
2018,관악구,25,1,24,31,-,31
2018,서초구,36,-,38,42,-,42
2018,강남구,59,1,68,60,1,63
2018,송파구,178,-,196,165,1,176
2018,강동구,66,-,70,91,2,93
2019,합계,"1,766",11,"1,950","1,599",7,"1,714"
2019,종로구,19,1,18,22,-,23
2019,중구,23,-,25,17,-,17
2019,용산구,22,-,23,31,-,33
2019,성동구,63,-,68,70,1,73
2019,광진구,61,-,65,48,-,50
2019,동대문구,110,1,120,75,1,78
2019,중랑구,99,2,105,67,-,71
2019,성북구,37,-,39,58,1,58
2019,강북구,57,2,62,50,-,51
2019,도봉구,62,-,77,56,-,61
2019,노원구,119,-,126,91,-,94
2019,은평구,62,1,69,61,-,64
2019,서대문구,48,1,49,21,-,24
2019,마포구,52,-,58,54,-,56
2019,양천구,70,1,70,75,-,76
2019,강서구,72,-,79,89,1,94
2019,구로구,71,-,78,68,1,70
2019,금천구,40,1,48,33,-,36
2019,영등포구,189,-,219,130,1,155
2019,동작구,53,-,63,42,-,52
2019,관악구,43,1,46,31,-,33
2019,서초구,46,-,50,34,-,37
2019,강남구,60,-,70,54,-,57
2019,송파구,218,-,245,216,-,241
2019,강동구,70,-,78,106,1,110
2020,합계,"1,802",14,"2,018","1,641",9,"1,790"
2020,종로구,20,1,23,23,-,23
2020,중구,20,-,21,17,-,17
2020,용산구,18,-,22,25,-,27
2020,성동구,93,1,102,74,-,85
2020,광진구,45,-,48,47,-,49
2020,동대문구,114,-,126,95,-,101
2020,중랑구,114,1,125,95,-,110
2020,성북구,40,-,44,33,-,35
2020,강북구,38,-,43,36,-,36
2020,도봉구,57,1,60,39,-,43
2020,노원구,112,-,121,104,1,108
2020,은평구,43,1,46,39,-,40
2020,서대문구,38,1,39,24,-,26
2020,마포구,51,-,59,64,1,71
2020,양천구,75,1,93,69,-,76
2020,강서구,73,-,79,92,2,97
2020,구로구,58,-,65,47,1,50
2020,금천구,36,1,42,27,-,30
2020,영등포구,210,1,238,140,-,162
2020,동작구,67,-,81,59,-,69
2020,관악구,44,1,43,33,2,32
2020,서초구,60,1,64,59,-,62
2020,강남구,99,-,117,77,-,91
2020,송파구,198,-,233,220,2,242
2020,강동구,79,3,84,103,-,108
