,시군구,기준년도,합계,0시~2시,2시~4시,4시~6시,6시~8시,8시~10시,10시~12시,12시~14시,14시~16시,16시~18시,18시~20시,20시~22시,22시~24시
2020,구로구,부상자수,65,1,-,2,2,7,10,4,12,9,8,7,3
2020,영등포구,사고건수,210,3,3,1,7,18,24,26,33,49,19,19,8
2020,영등포구,사망자수,1,0,0,0,0,0,1,0,0,0,0,0,0
2020,영등포구,부상자수,238,3,4,1,7,18,25,31,42,56,22,20,9
2020,동작구,사고건수,67,-,-,2,8,4,6,5,12,11,9,7,3
2020,동작구,사망자수,0,-,-,0,0,0,0,0,0,0,0,0,0
2020,동작구,부상자수,81,-,-,2,11,4,7,5,14,13,11,10,4
2020,관악구,사고건수,44,2,1,-,4,8,3,4,4,9,4,5,-
2020,관악구,사망자수,1,0,0,-,0,1,0,0,0,0,0,0,-
2020,관악구,부상자수,43,2,1,-,4,7,3,4,4,9,4,5,-
2020,강남구,사고건수,99,1,-,1,2,10,10,14,15,22,5,12,7
2020,강남구,사망자수,0,0,-,0,0,0,0,0,0,0,0,0,0
2020,강남구,부상자수,117,1,-,1,2,10,11,17,20,25,6,16,8
2020,강동구,사고건수,79,-,1,1,3,6,14,8,9,20,10,4,3
2020,강동구,사망자수,3,-,0,0,1,0,0,0,0,1,0,0,1
2020,강동구,부상자수,84,-,1,2,3,6,15,8,9,24,10,4,2
2020,송파구,사고건수,198,2,1,7,8,24,21,22,27,33,33,12,8
2020,송파구,사망자수,0,0,0,0,0,0,0,0,0,0,0,0,0
2020,송파구,부상자수,233,2,1,11,9,30,22,25,33,38,38,14,10
2020,서초구,사고건수,60,3,-,1,2,6,6,2,6,10,11,9,4
2020,서초구,사망자수,1,0,-,0,0,0,0,0,0,0,0,1,0
2020,서초구,부상자수,64,3,-,1,3,6,6,3,6,10,12,10,4
2020,양천구,사고건수,75,2,-,-,2,11,6,12,7,10,6,15,4
2020,양천구,사망자수,1,0,-,-,0,1,0,0,0,0,0,0,0
2020,양천구,부상자수,93,3,-,-,2,11,7,14,8,12,16,16,4
2020,중랑구,사고건수,114,1,1,4,8,10,10,12,15,14,18,16,5
2020,중랑구,사망자수,1,0,0,0,1,0,0,0,0,0,0,0,0
2020,중랑구,부상자수,125,1,1,4,7,10,11,14,17,14,20,21,5
2020,노원구,사고건수,112,1,1,3,6,9,12,17,13,13,15,16,6
2020,노원구,사망자수,0,0,0,0,0,0,0,0,0,0,0,0,0
2020,노원구,부상자수,121,1,1,3,6,9,14,18,15,13,18,17,6
2020,광진구,사고건수,45,3,1,-,1,6,5,5,4,6,6,5,3
2020,광진구,사망자수,0,0,0,-,0,0,0,0,0,0,0,0,0
2020,광진구,부상자수,48,3,1,-,1,6,5,6,4,6,6,7,3
2020,강북구,사고건수,38,-,2,1,-,2,2,9,5,7,7,2,1
2020,강북구,사망자수,0,-,0,0,-,0,0,0,0,0,0,0,0
2020,강북구,부상자수,43,-,3,1,-,2,2,9,6,7,9,2,2
2020,금천구,사고건수,36,1,-,1,-,4,9,3,6,2,4,6,-
2020,금천구,사망자수,1,0,-,0,-,0,0,0,0,0,1,0,-
2020,금천구,부상자수,42,1,-,1,-,5,9,3,9,2,4,8,-
