,시군구,기준년도,합계,0시~2시,2시~4시,4시~6시,6시~8시,8시~10시,10시~12시,12시~14시,14시~16시,16시~18시,18시~20시,20시~22시,22시~24시
2016,광진구,부상자수,66,2,-,1,5,6,6,5,10,10,5,11,5
2016,강북구,사고건수,41,-,-,1,4,8,6,2,4,7,6,2,1
2016,강북구,사망자수,1,-,-,0,0,0,0,0,0,1,0,0,0
2016,강북구,부상자수,48,-,-,1,5,8,7,2,4,6,9,5,1
2016,금천구,사고건수,31,2,-,-,4,4,3,3,2,4,6,3,-
2016,금천구,사망자수,0,0,-,-,0,0,0,0,0,0,0,0,-
2016,금천구,부상자수,33,2,-,-,4,4,3,3,2,4,8,3,-
2017,합계,사고건수,"1,656",31,17,31,102,203,153,168,236,237,220,151,107
2017,합계,사망자수,16,0,0,2,1,4,3,1,3,0,1,1,0
2017,합계,부상자수,"1,776",32,19,29,110,214,157,177,262,261,237,159,119
2017,종로구,사고건수,29,2,-,-,-,3,6,2,4,1,8,-,3
2017,종로구,사망자수,0,0,-,-,-,0,0,0,0,0,0,-,0
2017,종로구,부상자수,29,2,-,-,-,3,6,2,4,1,8,-,3
2017,중구,사고건수,12,-,-,-,1,-,4,-,1,1,1,3,1
2017,중구,사망자수,0,-,-,-,0,-,0,-,0,0,0,0,0
2017,중구,부상자수,12,-,-,-,1,-,4,-,1,1,1,3,1
2017,용산구,사고건수,41,1,-,1,2,6,5,5,7,2,6,3,3
2017,용산구,사망자수,0,0,-,0,0,0,0,0,0,0,0,0,0
2017,용산구,부상자수,47,1,-,1,3,6,6,6,8,2,7,4,3
2017,성동구,사고건수,63,1,1,-,5,4,8,5,11,8,11,4,5
2017,성동구,사망자수,2,0,0,-,1,0,0,0,1,0,0,0,0
2017,성동구,부상자수,64,1,1,-,4,4,8,5,10,10,11,4,6
2017,동대문구,사고건수,107,-,-,3,3,22,10,15,13,13,9,8,11
2017,동대문구,사망자수,1,-,-,0,0,1,0,0,0,0,0,0,0
