구분,대여소명,,대여일자,대여건수,반납건수,위도,경도
성동구,578, 성동세무서 부근,202006,1570,1604,37.548286,127.062088
성동구,579, 마장역 4번출구,201901,381,392,37.565205,127.041847
성동구,579, 마장역 4번출구,201902,305,307,37.565205,127.041847
성동구,579, 마장역 4번출구,201903,659,624,37.565205,127.041847
성동구,579, 마장역 4번출구,201904,970,957,37.565205,127.041847
성동구,579, 마장역 4번출구,201905,1465,1458,37.565205,127.041847
성동구,579, 마장역 4번출구,201906,1560,1564,37.565205,127.041847
성동구,579, 마장역 4번출구,201907,1638,1643,37.565205,127.041847
성동구,579, 마장역 4번출구,201908,1548,1557,37.565205,127.041847
성동구,579, 마장역 4번출구,201909,1600,1577,37.565205,127.041847
성동구,579, 마장역 4번출구,201910,1885,1913,37.565205,127.041847
성동구,579, 마장역 4번출구,201911,1256,1263,37.565205,127.041847
성동구,579, 마장역 4번출구,201912,693,724,37.565205,127.041847
성동구,579, 마장역 4번출구,202001,643,710,37.565205,127.041847
성동구,579, 마장역 4번출구,202002,627,657,37.565205,127.041847
성동구,579, 마장역 4번출구,202003,1146,1169,37.565205,127.041847
성동구,579, 마장역 4번출구,202004,1550,1542,37.565205,127.041847
성동구,579, 마장역 4번출구,202005,1753,1769,37.565205,127.041847
성동구,579, 마장역 4번출구,202006,1505,1512,37.565205,127.041847
성동구,580, 신금호역 3번출구 뒤,201901,52,7,#N/A,#N/A
성동구,580, 신금호역 3번출구 뒤,201902,54,21,#N/A,#N/A
성동구,580, 신금호역 3번출구 뒤,201903,76,31,#N/A,#N/A
성동구,580, 신금호역 3번출구 뒤,201904,122,65,#N/A,#N/A
성동구,580, 신금호역 3번출구 뒤,201905,105,63,#N/A,#N/A
성동구,580, 신금호역 3번출구 뒤,201906,146,93,#N/A,#N/A
