구분,대여소명,반납일자,반납건수,,,,
강남구,2363. 강남 을지병원 교차로,201901,186,,,,
강남구,2364. 도산대로 렉서스 앞,201901,215,,,,
강남구,2365. K+ 타워 앞,201901,340,,,,
강남구,2368. 도곡동 경남아파트 건너편,201901,100,,,,
강남구,2369. KT선릉타워,201901,321,,,,
강남구,2370. 한티역 3번출구,201901,199,,,,
강남구,2371. 한국우편사업진흥원,201901,55,,,,
강남구,2372. 대치역 사거리,201901,310,,,,
강남구,2373. 개포동역 사거리,201901,141,,,,
강남구,2375. 수서역 1번출구 앞,201901,119,,,,
강남구,2376. 수서역 6번출구 앞,201901,106,,,,
강남구,2377. 수서역 5번출구 뒤,201901,379,,,,
강남구,2380. 삼성동베이직하우스앞,201901,250,,,,
강남구,2381. 언주역 6번출구앞,201901,192,,,,
강남구,2382. 역삼동 sk뷰 501동앞,201901,132,,,,
강남구,2383. 보금자리정원,201901,21,,,,
강남구,2384. 자곡사거리,201901,344,,,,
강남구,2385. 학동역,201901,311,,,,
강남구,2387. 래미안강남힐즈 사거리,201901,241,,,,
강남구,2388. 강남구 도시관리공단,201901,58,,,,
강남구,2389. 경기여자고등학교 후문 (삼성로3길 입구),201901,48,,,,
강남구,2390. 구룡마을 입구 (래미안블레스티지 아파트),201901,11,,,,
강남구,2391. 구룡마을 입구(개포1단지아파트),201901,26,,,,
강남구,2392. 구룡산 입구 (구룡산 서울둘레길 입구),201901,14,,,,
강남구,2394. 래미안강남포레스트 입구 (보도육교),201901,16,,,,
강남구,2395. 개포1단지아파트 입구 (보도육교),201901,18,,,,
강남구,2396. 영동3교 북단(우성캐릭터 앞 보도),201901,97,,,,
강남구,2398. 더라움,201901,129,,,,
강남구,2401. 밀알학교 입구 (삼성서울병원 입구),201901,71,,,,
강남구,2403. 공무원연금매점 교차로 (개포주공9단지 입구),201901,11,,,,
강남구,2404. 대모산입구역 4번 출구 앞,201901,151,,,,
강남구,2405. 청담공원앞 교차로,201901,128,,,,
강남구,2406. 논현동 광명빌딩 앞,201901,64,,,,
강남구,2407. 역삼.서초.삼성 세무서 앞 (역삼빌딩 앞),201901,411,,,,
강남구,2408. 강남한양수자인아파트,201901,177,,,,
강남구,2409. 역삼동 디오슈페리움 (우성아파트 사거리),201901,222,,,,
강남구,2412. 일원1동 주민센터,201901,159,,,,
강동구,1001. 광진교 남단 사거리(디지털프라자앞),201901,464,,,,
강동구,1002. 해공공원(천호동),201901,294,,,,
강동구,1003. 해공도서관앞,201901,294,,,,
강동구,1004. 삼성광나루아파트 버스정류장,201901,339,,,,
강동구,1006. 롯데캐슬 115동앞,201901,134,,,,
강동구,1007.암사동 선사유적지,201901,34,,,,
강동구,1008. 암사역 3번출구(국민은행앞),201901,608,,,,
강동구,1009. 천호역4번출구(현대백화점),201901,816,,,,
강동구,1010. 강동세무서,201901,546,,,,
강동구,1011. LIGA 아파트 앞,201901,628,,,,
강동구,1012. 서울 상운차량,201901,197,,,,
강동구,1013. 강동구청역 1번 출입구,201901,364,,,,
강동구,1014. 강동구평생학습관앞,201901,202,,,,
강동구,1015. 샛마을 근린공원,201901,240,,,,
강동구,1016. 해뜨는 주유소옆 리엔파크 109동앞,201901,198,,,,
강동구,1017. 맥도날드(길동),201901,449,,,,
강동구,1018. 둔촌 주공 GS 맞은편,201901,255,,,,
강동구,1019. 다성이즈빌아파트(호원대 대각선 맞은편),201901,864,,,,
강동구,1020. 강동경찰서,201901,834,,,,
강동구,1021. 강일동 리슈빌 빌딩앞,201901,313,,,,
강동구,1022. 길동 사거리(초소앞),201901,275,,,,
강동구,1023. 한국종합기술사옥 앞,201901,318,,,,
강동구,1024. 강동구청 앞,201901,540,,,,
강동구,1025. 상일초등학교,201901,81,,,,
강동구,1026. 대명초교 입구 교차로,201901,87,,,,
강동구,1027. 프라자 아파트 앞,201901,181,,,,
강동구,1028. 포레스 주상복합 빌딩,201901,256,,,,
강동구,1029. 롯데 시네마,201901,619,,,,
강동구,1030. 미호 플랜트 앞,201901,255,,,,
강동구,1031. 암사동 CBIS,201901,81,,,,
강동구,1032. 선사고등학교,201901,62,,,,
강동구,1033. 고덕동 아남아파트,201901,194,,,,
강동구,1034. 고덕동 래미안 힐스테이트,201901,104,,,,
강동구,1035. 고덕역 4번출구,201901,344,,,,
강동구,1036. 고덕동 주양쇼핑,201901,147,,,,
강동구,1037. 강일 6단지,201901,33,,,,
강동구,1038. 강일 다솜 어린이 공원,201901,40,,,,
강동구,1039. 고덕초등학교,201901,53,,,,
강동구,1040. 강일동 에너지 마루,201901,26,,,,
강동구,1041. 묘곡초등학교,201901,147,,,,
강동구,1042. 강일 2.5단지 사이,201901,99,,,,
강동구,1044. 굽은다리역,201901,659,,,,
강동구,1047. 건강보험 강동지사kt,201901,400,,,,
강동구,1048. 동부기업(둔촌동),201901,340,,,,
강동구,1049. 강일동 10단지 아파트,201901,141,,,,
강동구,1050. 둔촌역 3번 출입구,201901,823,,,,
강동구,1051. 양지시장 (용성약국앞) 입구,201901,271,,,,
강동구,1052. 리싸이클시티,201901,21,,,,
강동구,1053. 동명근린공원 진입로 (아리수로),201901,131,,,,
강동구,1054. 말우물 어린이 공원,201901,27,,,,
강동구,1056. 강일리엔파크 7~11단지,201901,54,,,,
강동구,1057. 능골근린공원,201901,84,,,,
강동구,1058. 고덕숲 아이파크 1,201901,73,,,,
강동구,1059. 레미안 강동팰리스(102동),201901,200,,,,
강동구,1060. 천일초교 사거리,201901,91,,,,
강동구,1061. 천호초교 입구 사거리(일주빌딩),201901,204,,,,
강동구,1062. 고덕숲 아이파크 2,201901,88,,,,
강동구,3539. 서원마을,201901,59,,,,
강북구,"1501. 미아역 3번,4번 출구 사이",201901,303,,,,
강북구,1503. 이디야 커피 수유역점 앞,201901,793,,,,
강북구,1504. 다이소 삼양시장점,201901,108,,,,
강북구,1506. 강북문화예술회관,201901,293,,,,
강북구,1509. 서울북부수도사업소,201901,270,,,,
강북구,1510. 번동주공5단지 관리사무소 앞,201901,102,,,,
강북구,1511. 번동 금호어울림아파트102동앞,201901,66,,,,
강북구,1512. 강북중학교 앞,201901,278,,,,
강북구,1513. 강북구청 뒷편,201901,95,,,,
