2016,광진구,사고건수,66,4,-,-,4,10,6,3,6,10,8,10,5
2016,광진구,사망자수,0,0,-,-,0,0,0,0,0,0,0,0,0
2016,광진구,부상자수,69,4,-,-,4,11,6,3,6,10,10,10,5
2016,강북구,사고건수,62,-,-,4,4,6,6,6,5,13,9,5,4
2016,강북구,사망자수,0,-,-,0,0,0,0,0,0,0,0,0,0
2016,강북구,부상자수,62,-,-,4,4,6,6,6,5,13,9,5,4
2016,금천구,사고건수,25,2,-,4,2,3,3,2,4,3,1,1,-
2016,금천구,사망자수,1,0,-,1,0,0,0,0,0,0,0,0,-
2016,금천구,부상자수,26,2,-,3,2,3,3,2,4,4,1,2,-
2017,합계,사고건수,"1,607",31,15,50,127,207,152,140,195,220,211,149,110
2017,합계,사망자수,14,1,0,2,1,2,1,2,2,0,1,1,1
2017,합계,부상자수,"1,701",31,17,49,134,218,163,147,208,234,224,159,117
2017,합계,사고건수,"1,607",31,15,50,127,207,152,140,195,220,211,149,110
2017,합계,사망자수,14,1,0,2,1,2,1,2,2,0,1,1,1
2017,합계,부상자수,"1,701",31,17,49,134,218,163,147,208,234,224,159,117
2017,종로구,사고건수,29,2,-,-,2,4,2,4,5,4,3,2,1
2017,종로구,사망자수,1,0,-,-,0,0,0,0,1,0,0,0,0
2017,종로구,부상자수,34,2,-,-,2,5,2,4,9,4,3,2,1
2017,중구,사고건수,15,1,-,-,1,3,1,1,2,1,5,-,-
2017,중구,사망자수,1,0,-,-,0,0,1,0,0,0,0,-,-
2017,중구,부상자수,17,1,-,-,1,3,3,1,2,1,5,-,-
2017,용산구,사고건수,38,-,-,2,1,3,6,3,9,1,3,6,4
2017,용산구,사망자수,0,-,-,0,0,0,0,0,0,0,0,0,0
2017,용산구,부상자수,43,-,-,2,2,3,7,3,9,1,5,7,4
2017,성동구,사고건수,56,-,-,3,7,5,5,7,8,8,6,2,5
2017,성동구,사망자수,1,-,-,0,0,0,0,1,0,0,0,0,0
2017,성동구,부상자수,61,-,-,3,9,5,5,6,8,10,7,2,6
2017,동대문구,사고건수,101,2,1,3,6,22,12,5,7,11,11,14,7
2017,동대문구,사망자수,1,0,0,1,0,0,0,0,0,0,0,0,0
2017,동대문구,부상자수,104,3,1,2,6,22,12,6,9,11,11,14,7
2017,성북구,사고건수,54,1,-,-,2,8,5,3,9,7,9,5,5
2017,성북구,사망자수,0,0,-,-,0,0,0,0,0,0,0,0,0
2017,성북구,부상자수,55,1,-,-,2,8,5,3,9,8,9,5,5
2017,도봉구,사고건수,71,3,1,1,9,5,9,2,14,6,13,4,4
2017,도봉구,사망자수,1,1,0,0,0,0,0,0,0,0,0,0,0
2017,도봉구,부상자수,72,2,1,1,9,5,9,2,14,6,15,4,4
